epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3288.28,1.47489,2.92082,1.6102,0.6233,0.44709,0.49698,0.33756,1.65267,4.84804,1.74914,0.000415808,0.000415808,0.000415808
2,6409.68,1.45967,2.08956,1.59201,0.26621,0.49361,0.42713,0.27735,1.74268,4.23145,1.84413,0.000805003,0.000805003,0.000805003
3,28753.4,1.40637,1.83211,1.55224,0.65373,0.50793,0.53719,0.35482,1.75226,2.5132,1.78319,0.0011667,0.0011667,0.0011667
4,32927.9,1.35448,1.64455,1.50967,0.63036,0.51258,0.55623,0.39221,1.58598,2.12582,1.64925,0.00112625,0.00112625,0.00112625
5,34877.7,1.32647,1.54548,1.49164,0.60317,0.60054,0.58486,0.41286,1.56303,1.69815,1.63547,0.001085,0.001085,0.001085
6,1060.7,1.26741,1.45515,1.44462,0.67945,0.60629,0.62633,0.42452,1.51115,1.64259,1.5574,0.00104375,0.00104375,0.00104375
7,1194.06,1.15291,1.29805,1.36714,0.72579,0.64669,0.63346,0.44586,1.5071,1.49199,1.57634,0.0010025,0.0010025,0.0010025
8,2341.93,1.2299,1.33743,1.41531,0.64693,0.62159,0.61654,0.42518,1.48883,1.57389,1.59122,0.00096125,0.00096125,0.00096125
9,3526.09,1.17528,1.26187,1.38545,0.67001,0.60589,0.60852,0.42495,1.48452,1.76671,1.57326,0.00092,0.00092,0.00092
10,4659.9,1.13979,1.212,1.35071,0.6293,0.65031,0.62296,0.44888,1.41286,1.4172,1.5124,0.00087875,0.00087875,0.00087875
11,5797.48,1.12379,1.17931,1.33995,0.65139,0.63346,0.61331,0.45056,1.37358,1.30138,1.44517,0.0008375,0.0008375,0.0008375
12,6972.49,1.1252,1.16886,1.34659,0.66827,0.64489,0.63268,0.44207,1.42893,1.38123,1.51436,0.00079625,0.00079625,0.00079625
13,8202.2,1.10275,1.15961,1.33941,0.66769,0.63271,0.60255,0.43367,1.42954,1.51626,1.47789,0.000755,0.000755,0.000755
14,9392.9,1.08976,1.11702,1.32312,0.73973,0.65622,0.66925,0.47741,1.33732,1.33755,1.42234,0.00071375,0.00071375,0.00071375
15,10469.9,1.07532,1.07734,1.31,0.6917,0.68019,0.68941,0.4928,1.28131,1.17563,1.39535,0.0006725,0.0006725,0.0006725
16,11477.3,1.06092,1.05454,1.30065,0.70597,0.67344,0.67055,0.48216,1.27389,1.1955,1.35933,0.00063125,0.00063125,0.00063125
17,12483.4,1.05856,1.04291,1.30072,0.71397,0.68759,0.68131,0.46811,1.31765,1.19243,1.40304,0.00059,0.00059,0.00059
18,13578.8,1.04008,1.02339,1.28955,0.68578,0.69448,0.66993,0.46325,1.39689,1.17784,1.45578,0.00054875,0.00054875,0.00054875
19,15474.2,1.02784,0.99463,1.27283,0.70962,0.69023,0.68498,0.47031,1.34759,1.09738,1.40927,0.0005075,0.0005075,0.0005075
20,16478.3,1.01987,0.99241,1.28139,0.73315,0.69002,0.69284,0.49743,1.30483,1.02587,1.39995,0.00046625,0.00046625,0.00046625
21,17471.2,0.89465,0.72102,1.1665,0.76081,0.68832,0.70192,0.49095,1.2732,1.06227,1.36711,0.000425,0.000425,0.000425
22,18457.9,0.8812,0.69731,1.1545,0.76918,0.72543,0.72463,0.5143,1.26147,1.03931,1.36585,0.00038375,0.00038375,0.00038375
23,19441.5,0.85497,0.66101,1.13415,0.77352,0.71493,0.71642,0.52015,1.2335,1.07035,1.36421,0.0003425,0.0003425,0.0003425
24,20424.8,0.83986,0.63674,1.12349,0.77771,0.70183,0.71495,0.51179,1.246,1.08638,1.34654,0.00030125,0.00030125,0.00030125
25,21375,0.83481,0.61598,1.11814,0.77076,0.69925,0.71476,0.50815,1.247,1.0449,1.35778,0.00026,0.00026,0.00026
26,22309,0.81432,0.60216,1.11062,0.80721,0.72177,0.73759,0.52486,1.2192,1.01547,1.32191,0.00021875,0.00021875,0.00021875
27,23341.8,0.78685,0.57429,1.09486,0.80129,0.71819,0.72628,0.52558,1.19867,1.02133,1.32807,0.0001775,0.0001775,0.0001775
28,24335.9,0.78806,0.56392,1.08961,0.79505,0.70944,0.72132,0.52953,1.21285,0.98237,1.34312,0.00013625,0.00013625,0.00013625
29,25315,0.77087,0.5565,1.07955,0.79256,0.71031,0.72251,0.5188,1.23279,1.06831,1.33602,9.5e-05,9.5e-05,9.5e-05
30,26343.4,0.75293,0.53229,1.06921,0.80562,0.71658,0.72973,0.52945,1.20128,1.05157,1.32582,5.375e-05,5.375e-05,5.375e-05
